"","x"
"1",0
"2",0
"3",1
"4",0
"5",0
"6",0
"7",1
"8",0
"9",1
"10",1
"11",1
"12",1
"13",0
"14",1
"15",0
"16",1
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",1
"27",0
"28",1
"29",0
"30",0
"31",0
"32",1
"33",1
"34",0
"35",0
"36",0
"37",0
"38",1
"39",0
"40",1
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",1
"49",0
"50",0
"51",0
"52",1
"53",1
"54",0
"55",1
"56",1
"57",0
"58",1
"59",0
"60",1
"61",0
"62",0
"63",0
"64",0
"65",1
"66",0
"67",1
"68",0
"69",0
"70",0
"71",0
"72",1
"73",0
"74",1
"75",1
"76",1
"77",1
"78",1
"79",1
"80",1
"81",1
"82",1
"83",1
"84",1
"85",1
"86",1
"87",1
"88",1
"89",0
"90",0
"91",0
"92",0
"93",0
"94",1
"95",1
"96",1
"97",1
"98",1
"99",1
"100",1
"101",1
"102",1
"103",1
"104",1
"105",1
"106",1
"107",1
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",0
"115",0
"116",0
"117",1
"118",0
"119",0
"120",1
"121",1
"122",0
"123",0
"124",1
"125",0
"126",1
"127",1
"128",1
"129",0
"130",0
"131",1
"132",0
"133",1
"134",1
"135",1
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",1
"143",1
"144",1
"145",0
"146",0
"147",1
"148",1
"149",0
"150",1
"151",1
"152",1
"153",0
"154",0
"155",1
"156",0
"157",0
"158",1
"159",1
"160",1
"161",0
"162",1
"163",0
"164",1
"165",0
"166",0
"167",0
"168",0
"169",1
"170",0
"171",0
"172",1
"173",0
"174",0
"175",1
"176",0
"177",0
"178",0
"179",0
"180",0
"181",1
"182",0
"183",1
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",1
"191",0
"192",0
"193",0
"194",1
"195",0
"196",0
"197",1
"198",0
"199",0
"200",0
"201",1
"202",0
"203",0
"204",1
"205",1
"206",1
"207",0
"208",1
"209",0
"210",1
"211",1
"212",1
"213",0
"214",0
"215",1
"216",0
"217",0
"218",0
"219",1
"220",0
"221",0
"222",0
"223",0
"224",0
